=== BUDGET-LIMITED RUN: time_limit=28800s ===
start=1786082276
loaded 188 templates
prepared 200000 operation sequences
split into 10000 chunks of up to 20 items each
progress: 4940/200000 (2.5%)  ok=4940 fail=0  elapsed=5732s  eta=226341s
progress: 4960/200000 (2.5%)  ok=4960 fail=0  elapsed=5755s  eta=226301s
progress: 4980/200000 (2.5%)  ok=4980 fail=0  elapsed=5777s  eta=226249s
progress: 5000/200000 (2.5%)  ok=5000 fail=0  elapsed=5802s  eta=226272s
progress: 5020/200000 (2.5%)  ok=5020 fail=0  elapsed=5825s  eta=226247s
progress: 5040/200000 (2.5%)  ok=5040 fail=0  elapsed=5848s  eta=226231s
progress: 5060/200000 (2.5%)  ok=5060 fail=0  elapsed=5871s  eta=226195s
progress: 5080/200000 (2.5%)  ok=5080 fail=0  elapsed=5895s  eta=226173s
progress: 5100/200000 (2.5%)  ok=5100 fail=0  elapsed=5918s  eta=226153s
progress: 5120/200000 (2.6%)  ok=5120 fail=0  elapsed=5940s  eta=226097s
progress: 5140/200000 (2.6%)  ok=5140 fail=0  elapsed=5963s  eta=226049s
progress: 5160/200000 (2.6%)  ok=5160 fail=0  elapsed=5986s  eta=226043s
progress: 5180/200000 (2.6%)  ok=5180 fail=0  elapsed=6009s  eta=226000s
progress: 5200/200000 (2.6%)  ok=5200 fail=0  elapsed=6033s  eta=226021s
progress: 5220/200000 (2.6%)  ok=5220 fail=0  elapsed=6056s  eta=225966s
progress: 5240/200000 (2.6%)  ok=5240 fail=0  elapsed=6078s  eta=225896s
progress: 5260/200000 (2.6%)  ok=5260 fail=0  elapsed=6101s  eta=225867s
progress: 5280/200000 (2.6%)  ok=5280 fail=0  elapsed=6124s  eta=225863s
progress: 5300/200000 (2.6%)  ok=5300 fail=0  elapsed=6147s  eta=225833s
progress: 5320/200000 (2.7%)  ok=5320 fail=0  elapsed=6171s  eta=225818s
progress: 5340/200000 (2.7%)  ok=5340 fail=0  elapsed=6193s  eta=225768s
progress: 5360/200000 (2.7%)  ok=5360 fail=0  elapsed=6216s  eta=225712s
progress: 5380/200000 (2.7%)  ok=5380 fail=0  elapsed=6240s  eta=225735s
progress: 5400/200000 (2.7%)  ok=5400 fail=0  elapsed=6264s  eta=225723s
progress: 5420/200000 (2.7%)  ok=5420 fail=0  elapsed=6287s  eta=225703s
progress: 5440/200000 (2.7%)  ok=5440 fail=0  elapsed=6309s  eta=225657s
progress: 5460/200000 (2.7%)  ok=5460 fail=0  elapsed=6333s  eta=225639s
progress: 5480/200000 (2.7%)  ok=5480 fail=0  elapsed=6356s  eta=225610s
progress: 5500/200000 (2.8%)  ok=5500 fail=0  elapsed=6379s  eta=225584s
progress: 5520/200000 (2.8%)  ok=5520 fail=0  elapsed=6402s  eta=225552s
progress: 5540/200000 (2.8%)  ok=5540 fail=0  elapsed=6426s  eta=225559s
progress: 5560/200000 (2.8%)  ok=5560 fail=0  elapsed=6449s  eta=225526s
progress: 5580/200000 (2.8%)  ok=5580 fail=0  elapsed=6471s  eta=225472s
progress: 5600/200000 (2.8%)  ok=5600 fail=0  elapsed=6494s  eta=225436s
progress: 5620/200000 (2.8%)  ok=5620 fail=0  elapsed=6517s  eta=225414s
progress: 5640/200000 (2.8%)  ok=5640 fail=0  elapsed=6540s  eta=225362s
progress: 5660/200000 (2.8%)  ok=5660 fail=0  elapsed=6563s  eta=225329s
progress: 5680/200000 (2.8%)  ok=5680 fail=0  elapsed=6585s  eta=225265s
progress: 5700/200000 (2.9%)  ok=5700 fail=0  elapsed=6607s  eta=225212s
progress: 5720/200000 (2.9%)  ok=5720 fail=0  elapsed=6631s  eta=225213s
progress: 5740/200000 (2.9%)  ok=5740 fail=0  elapsed=6654s  eta=225182s
progress: 5760/200000 (2.9%)  ok=5760 fail=0  elapsed=6677s  eta=225169s
progress: 5780/200000 (2.9%)  ok=5780 fail=0  elapsed=6701s  eta=225162s
progress: 5800/200000 (2.9%)  ok=5800 fail=0  elapsed=6724s  eta=225137s
progress: 5820/200000 (2.9%)  ok=5820 fail=0  elapsed=6747s  eta=225115s
progress: 5840/200000 (2.9%)  ok=5840 fail=0  elapsed=6770s  eta=225089s
progress: 5860/200000 (2.9%)  ok=5860 fail=0  elapsed=6794s  eta=225084s
progress: 5880/200000 (2.9%)  ok=5880 fail=0  elapsed=6818s  eta=225096s
progress: 5900/200000 (2.9%)  ok=5900 fail=0  elapsed=6841s  eta=225068s
progress: 5920/200000 (3.0%)  ok=5920 fail=0  elapsed=6864s  eta=225032s
progress: 5940/200000 (3.0%)  ok=5940 fail=0  elapsed=6887s  eta=225002s
progress: 5960/200000 (3.0%)  ok=5960 fail=0  elapsed=6909s  eta=224937s
progress: 5980/200000 (3.0%)  ok=5980 fail=0  elapsed=6931s  eta=224890s
progress: 6000/200000 (3.0%)  ok=6000 fail=0  elapsed=6954s  eta=224849s
progress: 6020/200000 (3.0%)  ok=6020 fail=0  elapsed=6977s  eta=224817s
progress: 6040/200000 (3.0%)  ok=6040 fail=0  elapsed=7001s  eta=224814s
progress: 6060/200000 (3.0%)  ok=6060 fail=0  elapsed=7024s  eta=224794s
progress: 6080/200000 (3.0%)  ok=6080 fail=0  elapsed=7048s  eta=224803s
progress: 6100/200000 (3.0%)  ok=6100 fail=0  elapsed=7071s  eta=224780s
progress: 6120/200000 (3.1%)  ok=6120 fail=0  elapsed=7093s  eta=224717s
progress: 6140/200000 (3.1%)  ok=6140 fail=0  elapsed=7116s  eta=224683s
progress: 6160/200000 (3.1%)  ok=6160 fail=0  elapsed=7140s  eta=224668s
progress: 6180/200000 (3.1%)  ok=6180 fail=0  elapsed=7162s  eta=224606s
progress: 6200/200000 (3.1%)  ok=6200 fail=0  elapsed=7185s  eta=224586s
progress: 6220/200000 (3.1%)  ok=6220 fail=0  elapsed=7208s  eta=224548s
